,GeoID,FIPS,Name,Scale,Area,Lat_Cent,Lon_Cent,Population,Density,Pct_White,Pct_Black,Pct_NatAm,Pct_Asian,Pct_Pacific,Pct_Other,Pct_Two_Plus,Pct_Hispanic,Med_Age,Pct_NotLabor,Pct_Unemp,Pct_Commute,Pct_Service_O,Pct_BlueCollar_O,Pct_FIRE_I,Pct_SNAP,PCI,Pct_Poverty,Pct_Vacant,Med_HomeValue,Pct_Divorced,Pct_NoHS,Pct_Repub,Pct_Fallin,Region
0,0500000US40001,40001,Adair County,C,577.0527760477287,35.8975,-94.6516708,22380,38.783281060151985,45.06702412868633,0.32171581769436997,38.84271671134942,0.6300268096514745,0.013404825737265418,0.741733690795353,14.383378016085791,5.750670241286864,36.8,46.4,8.0,80.4,19.3,15.1,31.3,23.8,15692,27.3,13.7,74700,12.2,21.5,31.995911065678506,53.940708604483014,1
1,0500000US40003,40003,Alfalfa County,C,881.337509577938,36.7297032,-98.3234449,5703,6.47084679594665,80.36121339645801,2.297036647378573,1.7534630896019638,0.03506926179203928,0.0,2.7529370506750834,12.800280554094337,4.699281080133264,45.5,50.7,5.8,76.3,13.5,16.9,22.2,8.9,26103,13.9,24.8,64000,18.4,14.3,63.27433628318584,62.7906976744186,4
2,0500000US40005,40005,Atoka County,C,989.912396033119,34.3748131,-96.0347049,13958,14.10023761287763,74.34446195730048,4.241295314514973,11.756698667430863,0.5015045135406219,0.0,0.723599369537183,8.432440177675884,3.317094139561542,40.6,51.7,10.1,80.2,17.6,13.6,31.099999999999998,21.1,18587,22.6,17.8,84700,15.8,17.9,21.930302205281784,52.33725265271006,2
3,0500000US40007,40007,Beaver County,C,1817.5085542725974,36.7483343,-100.4830555,5581,3.0706870605259,82.3329152481634,1.1109120229349578,0.4121125246371618,0.14334348683031714,0.0,13.904318222540763,2.0963984948933883,21.376097473571047,40.5,37.2,2.9,84.1,13.4,20.6,27.0,4.1,25610,9.2,21.4,87200,9.5,17.299999999999997,71.77971375233354,73.21899736147758,5
4,0500000US40009,40009,Beckham County,C,903.9393662298613,35.2739452,-99.6716381,22941,25.378914623092506,85.22296325356349,3.378231114598317,1.3687284773985442,0.3051305522862996,0.03487206311843424,1.8743733926158406,7.815701146419076,13.007279543175972,34.7,44.1,3.2,85.7,16.3,19.2,26.0,8.9,25654,14.4,20.4,110600,15.1,16.5,40.731094781880756,59.86672398968186,5
5,0500000US40011,40011,Blaine County,C,938.791775644316,35.877782,-98.4289343,9832,10.473035933076913,79.60740439381611,6.234743694060212,5.248169243287226,0.26444263628966636,0.0,3.6920260374288043,4.953213995117982,8.858828315703825,42.1,52.6,3.2,85.7,17.9,8.9,33.1,16.6,21130,15.2,23.6,74400,13.4,16.0,51.18198874296436,60.12107453651154,4
6,0500000US40013,40013,Bryan County,C,943.9412749593031,33.9640035,-96.2641365,43595,46.18401711682705,74.33880032113774,1.9405895171464616,12.856979011354513,0.4610620484000459,0.03211377451542608,3.3948847344878996,6.975570592957908,5.287303589861223,37.0,40.4,9.4,79.0,17.7,11.0,36.3,14.3,20964,17.8,15.4,87900,14.5,16.1,28.04101092780895,49.52043845626856,2
7,0500000US40015,40015,Caddo County,C,1290.1888891553624,35.1679202,-98.3810447,29551,22.90439814541103,62.600250414537584,2.7579438936076612,23.038137457277248,0.33501404351798586,0.0,4.642820885926026,6.625833305133498,10.805048898514432,37.6,46.8,9.3,83.7,17.2,18.8,27.9,14.2,18870,20.4,22.3,76200,14.1,15.9,27.34486114230107,45.11084378759237,3
8,0500000US40017,40017,Canadian County,C,905.600490071639,35.543416,-97.9798358,122832,135.63596900249377,82.5517780382962,2.3471082454083625,4.325420085971082,3.065976292822717,0.009769441187964049,2.5848313143154877,5.115116581998176,7.463038947505536,35.7,31.3,5.4,86.3,15.3,10.3,37.0,7.7,28160,7.5,8.1,141600,12.7,8.5,60.21010866134632,65.88134504176483,3
9,0500000US40019,40019,Carter County,C,833.7648020012937,34.2518484,-97.2879273,48288,57.9156134728809,74.639662027833,6.908548707753479,8.331262425447317,0.9795394300861497,0.13046719681908547,2.1268223989396953,6.883697813121273,6.0511928429423465,38.4,40.8,6.5,82.9,18.6,11.8,32.8,11.6,22118,15.6,18.0,94600,14.2,14.6,32.98665754361957,55.85081585081585,3
