,names,Latitude,Longitiude
0,Unweighted Centroid,35.60574748948374,-96.8799623422562
1,Population Weighted Centroid,35.59941174365169,-96.84247744890126
2,Area Weighted Centroid,35.570836421042245,-97.50731189333595
3,Census Centroid,35.572285,-97.043688
